town_id	assess_townID	town_name	fiscal year	name of zip	url
M079	79	DRACUT	2012	L3_SHP_M079_DRACUT.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M079_DRACUT.zip
M080	80	DUDLEY	2011	L3_SHP_M080_DUDLEY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M080_DUDLEY.zip
M081	81	DUNSTABLE	2015	L3_SHP_M081_DUNSTABLE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M081_DUNSTABLE.zip
M082	82	DUXBURY	2012	L3_SHP_M082_DUXBURY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M082_DUXBURY.zip
M083	83	EASTBRIDGEWATER	2011	L3_SHP_M083_EASTBRIDGEWATER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M083_EASTBRIDGEWATER.zip
M084	84	EASTBROOKFIELD	2012	L3_SHP_M084_EASTBROOKFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M084_EASTBROOKFIELD.zip
M085	85	EASTLONGMEADOW	2011	L3_SHP_M085_EASTLONGMEADOW.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M085_EASTLONGMEADOW.zip
M086	86	EASTHAM	2012	L3_SHP_M086_EASTHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M086_EASTHAM.zip
M087	87	EASTHAMPTON	2012	L3_SHP_M087_EASTHAMPTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M087_EASTHAMPTON.zip
M088	88	EASTON	2011	L3_SHP_M088_EASTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M088_EASTON.zip
M089	89	EDGARTOWN	2011	L3_SHP_M089_EDGARTOWN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M089_EDGARTOWN.zip
M090	90	EGREMONT	2012	L3_SHP_M090_EGREMONT.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M090_EGREMONT.zip
M091	91	ERVING	2012	L3_SHP_M091_ERVING.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M091_ERVING.zip
M092	92	ESSEX	2012	L3_SHP_M092_ESSEX.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M092_ESSEX.zip
M093	93	EVERETT	2012	L3_SHP_M093_EVERETT.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M093_EVERETT.zip
M094	94	FAIRHAVEN	2013	L3_SHP_M094_FAIRHAVEN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M094_FAIRHAVEN.zip
M095	95	FALLRIVER	2011	L3_SHP_M095_FALLRIVER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M095_FALLRIVER.zip
M096	96	FALMOUTH	2012	L3_SHP_M096_FALMOUTH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M096_FALMOUTH.zip
M097	97	FITCHBURG	2011	L3_SHP_M097_FITCHBURG.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M097_FITCHBURG.zip
M098	98	FLORIDA	2011	L3_SHP_M098_FLORIDA.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M098_FLORIDA.zip
M099	99	FOXBOROUGH	2012	L3_SHP_M099_FOXBOROUGH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M099_FOXBOROUGH.zip
M100	100	FRAMINGHAM	2012	L3_SHP_M100_FRAMINGHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M100_FRAMINGHAM.zip
M101	101	FRANKLIN	2011	L3_SHP_M101_FRANKLIN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M101_FRANKLIN.zip
M102	102	FREETOWN	2012	L3_SHP_M102_FREETOWN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M102_FREETOWN.zip
M103	103	GARDNER	2012	L3_SHP_M103_GARDNER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M103_GARDNER.zip
M105	105	GEORGETOWN	2013	L3_SHP_M105_GEORGETOWN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M105_GEORGETOWN.zip
M106	106	GILL	2013	L3_SHP_M106_GILL.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M106_GILL.zip
M107	107	GLOUCESTER	2013	L3_SHP_M107_GLOUCESTER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M107_GLOUCESTER.zip
M108	108	GOSHEN	2012	L3_SHP_M108_GOSHEN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M108_GOSHEN.zip
M109	109	GOSNOLD	2012	L3_SHP_M109_GOSNOLD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M109_GOSNOLD.zip
M110	110	GRAFTON	2012	L3_SHP_M110_GRAFTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M110_GRAFTON.zip
M111	111	GRANBY	2012	L3_SHP_M111_GRANBY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M111_GRANBY.zip
M112	112	GRANVILLE	2011	L3_SHP_M112_GRANVILLE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M112_GRANVILLE.zip
M113	113	GREATBARRINGTON	2014	L3_SHP_M113_GREATBARRINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M113_GREATBARRINGTON.zip
