x_meters	y_meters	LOC_ID	TOWN_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
